temperature;pressure;kinetic_energy;potential_energy;total_energy
9.999999999999996e-11;-2.939263671589595;2.0579999999999995e-07;-7985.806481980159;-7985.80648177436
0.00010000003478529277;-2.939160227658448;0.20580007158813254;-7985.07855460692;-7984.872754535332
0.0001999472282113169;-2.939083584207859;0.4114913956588902;-7985.081989083314;-7984.6704976876545
0.0002997798522256153;-2.9390072003569307;0.6169469358803162;-7985.078766780915;-7984.461819845035
0.0003995115389868724;-2.938924560151887;0.8221947472349834;-7985.085200461064;-7984.263005713829
0.0004991429894074444;-2.938839651607407;1.0272362722005206;-7985.079952247385;-7984.052715975185
0.0005986757911921278;-2.9387496626291694;1.232074778273399;-7985.069677034368;-7983.837602256095
0.0006981100657338166;-2.9386521078937915;1.4367105152801944;-7985.06002731083;-7983.62331679555
0.0007974452818467998;-2.9385510682131457;1.641142390040714;-7985.067190930249;-7983.426048540208
0.0008966820716234041;-2.9384403947984135;1.8453717034009656;-7985.057585956627;-7983.212214253226
0.0009958206185488635;-2.9383217353965363;2.0493988329735613;-7985.044127549006;-7982.994728716032
0.0010948615830101783;-2.9381948808392875;2.253225137834947;-7985.026492692743;-7982.773267554908
0.0011938060126249071;-2.9380575622671614;2.456852773982059;-7985.022225301201;-7982.565372527219
0.0012926529315826923;-2.937909653385257;2.660279733197181;-7985.0106394496;-7982.350359716403
0.0013914021814345045;-2.9377478890374555;2.86350568939221;-7984.992885117164;-7982.129379427773
0.0014900554459866073;-2.937573346774972;3.066534107840438;-7984.955267474948;-7981.888733367108
0.0015886134224300345;-2.9373865145857203;3.269366423361011;-7984.91972982163;-7981.650363398269
0.001687074946592796;-2.937184845008656;3.472000240087974;-7984.904573174764;-7981.432572934676
0.0017854399507764424;-2.9369670890781894;3.6744354186979185;-7984.86512138186;-7981.190685963163
0.0018837112009939807;-2.9367346746935583;3.8766776516456125;-7984.840765454423;-7980.964087802777
0.001981886719757335;-2.9364844167862105;4.078722869260595;-7984.8002187284;-7980.721495859139
0.0020799656101745407;-2.9362156853966233;4.280569225739205;-7984.759388847147;-7980.478819621409
0.0021779522229278666;-2.935928881440939;4.48222567478555;-7984.707690160403;-7980.2254644856175
0.0022758452941788326;-2.935620799883302;4.683689615420038;-7984.649107558207;-7979.965417942787
0.0023736425989399857;-2.9352947617411975;4.8849564686184905;-7984.598742266512;-7979.713785797893
0.002471347136935624;-2.934944796115073;5.086032407813514;-7984.528948598167;-7979.442916190353
0.0025689601527198827;-2.9345747126876196;5.286919994297518;-7984.462734917076;-7979.175814922778
0.0026664794349253052;-2.934179812033678;5.487614677076278;-7984.386100712133;-7978.8984860350565
0.002763905603260989;-2.9337632665544198;5.688117731511115;-7984.314226431879;-7978.626108700369
0.002861240579859987;-2.933276966346773;5.888433113351853;-7984.154556622911;-7978.266123509558
0.002958546851407342;-2.9327833246096855;6.088689420196309;-7984.0092836933745;-7977.920594273178
0.003055799560699733;-2.9322545977370567;6.28883549592005;-7983.8470632342805;-7977.55822773836
0.0031529479884685697;-2.931671575163959;6.4887669602683165;-7983.637870041441;-7977.149103081172
0.003250049363203715;-2.93108794262102;6.688601589473246;-7983.464605558775;-7976.776003969301
0.0033470593737511796;-2.930398121624008;6.888248191179928;-7983.138303016038;-7976.250054824858
0.003444044349588202;-2.9297042299213922;7.0878432714525195;-7982.858534757906;-7975.770691486454
0.003541008481517007;-2.928953320607961;7.287395454962001;-7982.516477170223;-7975.229081715261
0.0036378804702250633;-2.9281191087333047;7.48675800772318;-7982.08005337195;-7974.593295364227
0.0037347528725958953;-2.927262400574895;7.686121411802352;-7981.631761385413;-7973.94563997361
0.0038315902975100367;-2.926348437354014;7.885412832275655;-7981.165552155851;-7973.280139323576
0.003928355813113435;-2.9253657785099305;8.084556263387448;-7980.609544659654;-7972.524988396266
0.004025102452642365;-2.924278365890062;8.283660847537988;-7979.905594692929;-7971.621933845391
0.004121880102548922;-2.923194408449534;8.48282925104568;-7979.278508695135;-7970.79567944409
0.004218606780878021;-2.9220204837458996;8.681892755046967;-7978.528653749831;-7969.846760994785
0.0043152699057921904;-2.920723006606372;8.880825466120328;-7977.6222117039415;-7968.741386237821
0.0044119960484547615;-2.9194013201292157;9.079887867719899;-7976.711306006664;-7967.631418138944
0.004508722977765793;-2.918132160924122;9.278951888242002;-7975.963616640131;-7966.684664751889
0.00460529858514599;-2.916779968994838;9.477704488230447;-7975.133924099826;-7965.656219611596
0.004701765962922119;-2.915327168883447;9.67623435169372;-7974.183975912735;-7964.507741561041
0.00479826381543187;-2.913776015480036;9.874826932158788;-7973.1016831099405;-7963.226856177782
0.004894811016046051;-2.9121688491844897;10.073521071022775;-7971.979019399494;-7961.905498328471
0.00499137857256087;-2.910734957438229;10.27225710233027;-7971.2474005460235;-7960.975143443693
0.005087763110136914;-2.908956710374545;10.470616480661768;-7969.946266200921;-7959.475649720259
0.005184180508437159;-2.907187592410887;10.669043486363673;-7968.722590114481;-7958.053546628117
0.005280776791230424;-2.905489214666966;10.867838636352213;-7967.692777645036;-7956.824939008683
0.005377243452864644;-2.9036935448249688;11.066367025995437;-7966.561889591903;-7955.495522565908
0.005473668677467838;-2.9018001781108134;11.26481013822881;-7965.304724302975;-7954.039914164746
0.005570203783728043;-2.9000296733642554;11.463479386912311;-7964.339391300321;-7952.875911913408
0.005666687033167972;-2.898002064146955;11.662041914259685;-7962.981369914702;-7951.319328000442
0.005763229913042976;-2.8961654494273565;11.860727161042444;-7962.025769471155;-7950.165042310113
0.005859817426506746;-2.8942936278778486;12.059504263750885;-7961.090849894768;-7949.031345631018
