temperature;pressure;system_kinetic_energy;potential_energy;total_energy;virial;msd;diffusion
1767.9629;35.2398;1107901.8;99520.29;1207422.1;650986.6;263.18195;116.96976
2548.4514;21.002785;601467.5;87510.33;688977.8;578500.8;262.08527;114.949684
1726.1088;26.904749;888325.25;71174.35;959499.6;479757.38;261.1983;113.07286
1402.5983;41.36698;1402396.5;107841.97;1510238.5;701606.4;259.9138;111.074265
3035.5618;17.477066;451325.88;103163.84;554489.75;674512.1;261.58682;110.37419
1753.0374;30.26572;1021615.4;93249.47;1114864.9;612758.0;261.31036;108.87932
2286.457;24.86651;785491.9;101797.27;887289.2;665564.1;261.26398;107.516045
2140.9268;30.016306;969980.8;119540.09;1089520.9;772022.75;260.79004;106.01221
3159.174;13.694789;391127.4;72497.19;463624.6;487859.3;260.78555;104.733154
1222.1074;34.15314;1248746.5;77764.266;1326510.8;519085.06;260.8151;103.49805
2100.25;20.990961;700653.0;78159.234;778812.2;521860.5;260.4356;102.13161
1219.7354;34.817753;1274876.2;90549.2;1365425.4;596563.94;260.81348;101.09049
2124.1355;29.009733;944148.8;130665.945;1074814.8;841331.1;262.0677;100.40907
2913.5132;16.185318;468278.3;94437.18;562715.5;622179.25;260.29282;98.595764
1368.7427;43.012905;1581940.8;128289.12;1710229.9;827383.3;260.3559;97.51157
3652.543;16.457783;312561.06;159477.38;472038.44;1016822.5;261.21536;96.74644
2773.6685;16.095837;486362.06;87011.44;573373.5;577668.56;261.07166;95.630646
1484.0582;28.690657;1026246.2;92118.086;1118364.2;608249.2;259.9308;94.177826
1552.1665;33.90582;1257829.1;105191.734;1363020.9;687450.0;260.794;93.474556
2575.2368;21.808762;722340.1;107169.14;829509.25;697906.56;260.73636;92.4597
2744.3962;21.752762;638985.44;130189.984;769175.44;837895.56;260.89688;91.54276
2469.7576;26.20862;813475.2;140644.06;954119.25;900767.25;261.30167;90.729744
3450.5452;16.923151;394550.56;134292.53;528843.1;863360.25;261.16193;89.74637
2352.2192;29.273144;855471.25;166055.06;1021526.3;1056115.8;261.27844;88.87022
3729.4644;13.9404125;338842.28;103330.01;442172.3;676684.25;260.6124;87.74828
2041.8346;25.335464;862611.9;93782.78;956394.6;618134.7;260.7522;86.917404
2093.6084;26.586596;900066.75;102893.61;1002960.4;672355.3;260.51785;85.97949
2529.2505;21.669527;671265.44;106705.82;777971.25;695334.44;260.97498;85.28594
2618.896;21.139477;664407.94;97575.734;761983.7;640252.2;261.27063;84.553604
2259.245;21.511467;723838.8;79614.375;803453.2;531558.9;260.92337;83.62929
1576.525;31.62903;1088033.8;107321.2;1195355.0;700711.56;260.16907;82.59335
2170.6565;24.639942;802437.44;108604.875;911042.3;706803.5;260.40115;81.88716
2448.3665;15.541559;527363.94;59191.766;586555.7;408487.44;260.56686;81.17348
791.5663;59.120857;2207201.5;145090.08;2352291.5;929206.8;260.86218;80.513016
3805.7185;13.824842;298711.47;125990.76;424702.22;813053.3;262.86636;80.38727
2517.5352;27.284199;783418.75;169279.28;952698.06;1075821.6;262.21582;79.45934
3612.9207;15.525263;359299.22;126146.47;485445.7;814378.25;262.3511;78.78412
2931.4116;26.092337;717044.7;163400.9;880445.6;1039509.4;262.34787;78.07972
4165.533;9.140698;192717.97;72939.54;265657.5;493127.66;263.1758;77.63298
721.7608;47.05995;1831877.5;78837.234;1910714.8;527835.75;262.62512;76.79097
2510.9426;21.099997;691542.7;98595.555;790138.25;647260.1;261.89777;75.9124
2344.5889;18.138504;608318.1;75090.586;683408.7;505782.03;261.59647;75.171394
1464.662;22.412468;855239.1;50938.707;906177.9;359157.0;261.44485;74.48572
990.2716;32.3101;1256474.4;64573.95;1321048.4;441291.44;261.37103;73.833626
1530.7688;31.816982;1185864.9;94678.59;1280543.5;623024.3;261.93628;73.371506
2276.5085;18.033606;655799.0;63943.06;719742.06;438241.56;262.74246;72.98402
1182.9636;28.90413;1119404.5;71518.266;1190922.8;483275.4;261.75952;72.110054
1486.9111;23.150143;947456.94;45300.07;992757.0;323137.84;262.15704;71.6276
1054.3761;27.850147;1127387.9;56641.836;1184029.6;391731.5;261.47412;70.8602
1314.9706;34.308636;1347181.0;91666.78;1438847.8;604019.4;261.54883;70.30882
2470.4382;21.408884;718633.9;107902.21;826536.06;703153.9;260.92044;69.57879
2523.9192;19.291725;696238.25;76468.44;772706.7;512823.1;261.2366;69.110214
1787.0713;25.011568;962706.2;72012.664;1034718.9;486580.6;261.01587;68.5081
1901.9911;21.853317;799401.1;76201.17;875602.25;512035.72;260.35605;67.801056
1275.1613;32.376934;1305667.1;71116.945;1376784.1;480206.22;260.12042;67.214584
1996.2056;21.290123;790867.0;76406.65;867273.6;512941.1;260.88693;66.89409
1179.4457;32.35175;1307901.0;77905.53;1385806.5;521331.3;259.94623;66.14408
2049.0208;24.0208;889197.06;94762.02;983959.06;623209.75;260.35193;65.74544
1991.1758;30.646736;1077349.2;141090.84;1218440.1;905125.6;259.48303;65.03334
3254.5786;16.726688;421951.06;136518.75;558469.8;878103.56;260.16306;64.71718
2371.4895;15.436695;573131.3;55794.652;628926.0;387379.94;260.4368;64.30539
830.2717;49.61449;1943623.9;128611.91;2072235.8;829487.3;259.93823;63.710346
3123.1438;15.9611225;441887.62;120895.55;562783.2;782787.75;259.44736;63.12588
2222.5342;24.467361;853875.2;114373.33;968248.56;744290.0;259.22525;62.614796
2490.2998;21.776716;771635.06;98283.55;869918.56;643828.1;259.21375;62.161568
2834.3293;17.916792;573664.25;96145.47;669809.7;631846.6;259.01022;61.669098
2419.6133;17.523043;571055.56;82195.19;653250.75;547194.75;258.86157;61.19659
1407.236;36.243202;1338110.5;109293.72;1447404.2;710805.25;259.09464;60.820335
2608.2517;13.622885;494787.94;48975.016;543762.94;345798.16;259.2264;60.425735
612.22955;39.808804;1635426.9;63185.39;1698612.2;430176.84;259.23685;60.00853
2108.6274;26.3596;973981.06;97739.16;1071720.2;638665.0;258.73474;59.479256
3025.3564;15.902326;496428.56;88166.0;584594.56;581909.06;257.96396;58.89588
1943.601;22.929016;855243.6;69863.59;925107.25;470809.97;257.6981;58.43494
1853.5529;25.806711;961925.25;76894.66;1038819.94;514066.8;257.3051;57.9516
1889.383;24.48421;920723.2;72167.27;992890.44;484489.25;257.34;57.57047
1904.17;18.669521;723908.44;45801.766;769710.2;325198.28;258.31564;57.403473
748.89105;44.963974;1799936.4;83930.32;1883866.8;555475.9;258.17288;56.991806
2754.9587;17.439054;561454.7;92702.055;654156.75;610173.6;258.29504;56.643646
1838.1886;23.997742;907002.06;73835.38;980837.44;495270.94;258.10217;56.23141
2031.565;25.461275;964034.44;77479.97;1041514.4;516095.25;258.75812;56.00825
2612.1824;17.078598;583243.7;71240.18;654483.9;479490.88;259.13516;55.72799
1642.9436;24.281242;951185.0;51664.207;1002849.2;359984.7;259.19705;55.383987
1474.9553;34.357597;1295448.6;91544.84;1386993.5;602325.94;258.931;54.974735
2599.217;12.871214;488258.16;36345.68;524603.8;267482.53;258.8823;54.616516
594.9275;65.48363;2626543.8;112484.28;2739028.2;728391.4;259.18716;54.33693
3869.5874;16.58089;328070.62;169465.88;497536.5;1075239.2;259.2184;54.003838
3774.7512;11.57953;281181.5;91612.07;372793.56;603976.25;259.7679;53.782177
1532.8485;25.67686;1002319.2;61200.92;1063520.1;419108.84;260.21884;53.542973
1227.798;36.544033;1409526.1;98267.39;1507793.5;643234.9;260.33817;53.238888
2369.1682;19.818012;686751.8;90303.39;777055.2;595745.6;260.1364;52.873257
