temperature;pressure;kinetic_energy;potential_energy;total_energy;virial;msd;diffusion;volume
0.006038541;-2.8939555;12.278017;-7373.9785;-7361.7007;-15984.133;0.0;0.0;1838.2656
0.006136836;-2.891899;12.477007;-7373.6816;-7361.2046;-15973.189;0.0;0.0;1838.2656
0.0062352517;-2.8898473;12.676301;-7373.387;-7360.711;-15962.272;0.0;0.0;1838.2656
0.006333696;-2.887812;12.875717;-7373.0713;-7360.196;-15951.447;0.0;0.0;1838.2656
0.0064321756;-2.8857427;13.075361;-7372.748;-7359.673;-15940.435;0.0;0.0;1838.2656
0.0065307366;-2.8836648;13.275296;-7372.4346;-7359.159;-15929.376;0.0;0.0;1838.2656
0.006629359;-2.881494;13.47561;-7372.1055;-7358.63;-15917.805;0.0;0.0;1838.2656
0.006728109;-2.879234;13.676506;-7371.7734;-7358.097;-15905.744;0.0;0.0;1838.2656
0.0068270224;-2.877013;13.877865;-7371.4355;-7357.5576;-15893.898;0.0;0.0;1838.2656
0.0069260015;-2.8748033;14.079544;-7371.091;-7357.011;-15882.115;0.0;0.0;1838.2656
0.0070250737;-2.8725083;14.2818;-7370.748;-7356.4663;-15869.863;0.0;0.0;1838.2656
0.0071243416;-2.8702543;14.484629;-7370.415;-7355.93;-15857.838;0.0;0.0;1838.2656
0.007223696;-2.8679407;14.688037;-7370.048;-7355.36;-15845.486;0.0;0.0;1838.2656
0.007323251;-2.8656476;14.892113;-7369.71;-7354.818;-15833.248;0.0;0.0;1838.2656
0.0074229357;-2.8632157;15.097019;-7369.3477;-7354.2505;-15820.248;0.0;0.0;1838.2656
0.007522901;-2.860821;15.302803;-7369.01;-7353.707;-15807.453;0.0;0.0;1838.2656
0.007623019;-2.8583367;15.50935;-7368.659;-7353.15;-15794.165;0.0;0.0;1838.2656
0.007723356;-2.855975;15.7166;-7368.2905;-7352.5737;-15781.555;0.0;0.0;1838.2656
0.007823822;-2.8536296;15.924505;-7367.955;-7352.031;-15769.037;0.0;0.0;1838.2656
0.007924481;-2.851175;16.133392;-7367.604;-7351.4707;-15755.918;0.0;0.0;1838.2656
0.00802543;-2.8487012;16.343355;-7367.265;-7350.922;-15742.695;0.0;0.0;1838.2656
0.008126617;-2.84628;16.55423;-7366.922;-7350.3677;-15729.766;0.0;0.0;1838.2656
0.008228012;-2.8438182;16.765985;-7366.5977;-7349.8315;-15716.612;0.0;0.0;1838.2656
0.00832963;-2.8413904;16.9787;-7366.2754;-7349.297;-15703.648;0.0;0.0;1838.2656
0.00843149;-2.8389351;17.192368;-7365.954;-7348.7617;-15690.536;0.0;0.0;1838.2656
0.008533576;-2.836474;17.406979;-7365.6426;-7348.236;-15677.392;0.0;0.0;1838.2656
0.0086358925;-2.834063;17.62242;-7365.3623;-7347.7397;-15664.527;0.0;0.0;1838.2656
0.008738381;-2.831603;17.838829;-7365.07;-7347.231;-15651.393;0.0;0.0;1838.2656
0.008841171;-2.8291104;18.05625;-7364.794;-7346.738;-15638.081;0.0;0.0;1838.2656
0.008944147;-2.8266733;18.27444;-7364.5303;-7346.256;-15625.078;0.0;0.0;1838.2656
0.009047309;-2.8242397;18.493366;-7364.276;-7345.7827;-15612.095;0.0;0.0;1838.2656
0.009150637;-2.8218756;18.71287;-7364.03;-7345.317;-15599.496;0.0;0.0;1838.2656
0.009254075;-2.8194475;18.93306;-7363.8105;-7344.8774;-15586.547;0.0;0.0;1838.2656
0.009357729;-2.8170736;19.153881;-7363.6035;-7344.4497;-15573.896;0.0;0.0;1838.2656
0.009461471;-2.814601;19.375305;-7363.403;-7344.0273;-15560.702;0.0;0.0;1838.2656
0.009565413;-2.8121512;19.59734;-7363.2383;-7343.641;-15547.638;0.0;0.0;1838.2656
0.009669443;-2.8098416;19.81958;-7363.0625;-7343.243;-15535.346;0.0;0.0;1838.2656
0.009773478;-2.8074918;20.042007;-7362.914;-7342.872;-15522.83;0.0;0.0;1838.2656
0.009877593;-2.8051853;20.264658;-7362.8047;-7342.54;-15510.557;0.0;0.0;1838.2656
0.009981726;-2.8029084;20.487408;-7362.682;-7342.195;-15498.445;0.0;0.0;1838.2656
0.010085882;-2.8006017;20.710262;-7362.5776;-7341.867;-15486.17;0.0;0.0;1838.2656
0.010190061;-2.7983382;20.93309;-7362.5073;-7341.574;-15474.133;0.0;0.0;1838.2656
0.010294195;-2.796183;21.155582;-7362.4375;-7341.2817;-15462.693;0.0;0.0;1838.2656
0.010398197;-2.793987;21.377735;-7362.3945;-7341.0166;-15451.027;0.0;0.0;1838.2656
0.010502166;-2.7917664;21.599743;-7362.3623;-7340.7627;-15439.224;0.0;0.0;1838.2656
0.01060609;-2.7896407;21.82137;-7362.347;-7340.526;-15427.943;0.0;0.0;1838.2656
0.010709867;-2.787489;22.042494;-7362.352;-7340.3096;-15416.5205;0.0;0.0;1838.2656
0.01081354;-2.7853584;22.263277;-7362.371;-7340.108;-15405.212;0.0;0.0;1838.2656
0.010917151;-2.7832818;22.483627;-7362.406;-7339.9224;-15394.201;0.0;0.0;1838.2656
0.011020606;-2.7811184;22.703445;-7362.448;-7339.7446;-15382.71;0.0;0.0;1838.2656
0.011123953;-2.7789478;22.922848;-7362.507;-7339.584;-15371.179;0.0;0.0;1838.2656
0.011227206;-2.7769198;23.141472;-7362.575;-7339.4336;-15360.432;0.0;0.0;1838.2656
0.0113301715;-2.7747989;23.359406;-7362.674;-7339.3145;-15349.171;0.0;0.0;1838.2656
0.011433087;-2.7727325;23.576939;-7362.7686;-7339.1914;-15338.211;0.0;0.0;1838.2656
0.011535859;-2.7706575;23.793865;-7362.8643;-7339.0703;-15327.202;0.0;0.0;1838.2656
0.01163848;-2.7685707;24.010239;-7362.9688;-7338.9585;-15316.125;0.0;0.0;1838.2656
0.011740982;-2.7665083;24.225914;-7363.098;-7338.872;-15305.183;0.0;0.0;1838.2656
0.011843263;-2.7645385;24.440804;-7363.242;-7338.8013;-15294.75;0.0;0.0;1838.2656
0.011945384;-2.7625456;24.655178;-7363.385;-7338.7295;-15284.188;0.0;0.0;1838.2656
0.012047416;-2.7604458;24.869074;-7363.5327;-7338.6636;-15273.036;0.0;0.0;1838.2656
0.012149309;-2.7583995;25.08231;-7363.698;-7338.6157;-15262.178;0.0;0.0;1838.2656
0.012251015;-2.7562912;25.295233;-7363.8677;-7338.5723;-15250.977;0.0;0.0;1838.2656
0.012352764;-2.7542026;25.507723;-7364.0366;-7338.529;-15239.883;0.0;0.0;1838.2656
0.012454266;-2.7521272;25.719547;-7364.219;-7338.4995;-15228.861;0.0;0.0;1838.2656
0.012555688;-2.749954;25.93108;-7364.4062;-7338.475;-15217.3;0.0;0.0;1838.2656
0.012657053;-2.7478328;26.142235;-7364.5947;-7338.4526;-15206.023;0.0;0.0;1838.2656
0.012758292;-2.7456872;26.353104;-7364.793;-7338.44;-15194.614;0.0;0.0;1838.2656
0.012859522;-2.743521;26.56378;-7364.996;-7338.432;-15183.089;0.0;0.0;1838.2656
0.012960671;-2.7414064;26.774124;-7365.1973;-7338.4233;-15171.848;0.0;0.0;1838.2656
0.013061746;-2.7391548;26.984425;-7365.3945;-7338.41;-15159.852;0.0;0.0;1838.2656
0.013162878;-2.7369282;27.194597;-7365.631;-7338.436;-15147.992;0.0;0.0;1838.2656
0.0132638905;-2.7347035;27.404556;-7365.829;-7338.4243;-15136.144;0.0;0.0;1838.2656
0.013364925;-2.7324564;27.614815;-7366.0713;-7338.4565;-15124.172;0.0;0.0;1838.2656
0.013466088;-2.7301152;27.825134;-7366.2983;-7338.473;-15111.681;0.0;0.0;1838.2656
0.013567151;-2.727798;28.035345;-7366.5166;-7338.4814;-15099.322;0.0;0.0;1838.2656
0.013668266;-2.7255557;28.245682;-7366.7573;-7338.5117;-15087.377;0.0;0.0;1838.2656
0.013769397;-2.7232301;28.456192;-7366.993;-7338.537;-15074.974;0.0;0.0;1838.2656
0.013870594;-2.7208776;28.666834;-7367.24;-7338.573;-15062.421;0.0;0.0;1838.2656
0.0139717925;-2.718465;28.87764;-7367.4893;-7338.612;-15049.538;0.0;0.0;1838.2656
0.014073075;-2.7160673;29.08862;-7367.752;-7338.6636;-15036.736;0.0;0.0;1838.2656
0.01417436;-2.7136014;29.299911;-7368.011;-7338.7114;-15023.561;0.0;0.0;1838.2656
0.014275791;-2.7111695;29.511742;-7368.284;-7338.7725;-15010.572;0.0;0.0;1838.2656
0.0143773435;-2.7086947;29.723965;-7368.5625;-7338.8384;-14997.349;0.0;0.0;1838.2656
0.014478966;-2.7061946;29.936718;-7368.8267;-7338.89;-14983.987;0.0;0.0;1838.2656
0.0145807825;-2.7035723;30.150253;-7369.1274;-7338.977;-14969.952;0.0;0.0;1838.2656
0.014682781;-2.7010198;30.364317;-7369.414;-7339.05;-14956.304;0.0;0.0;1838.2656
0.014784853;-2.6984682;30.578812;-7369.729;-7339.1504;-14942.662;0.0;0.0;1838.2656
0.014887062;-2.6958575;30.793558;-7370.047;-7339.2534;-14928.694;0.0;0.0;1838.2656
0.014989258;-2.6932402;31.008694;-7370.3735;-7339.3647;-14914.689;0.0;0.0;1838.2656
0.01509165;-2.690682;31.224474;-7370.707;-7339.4824;-14901.013;0.0;0.0;1838.2656
0.015194164;-2.6880329;31.440842;-7371.047;-7339.606;-14886.836;0.0;0.0;1838.2656
