temperature;pressure;system_kinetic_energy;potential_energy;total_energy;virial;msd;diffusion
2.8002365;4.514972;5751.9805;-5044.382;707.59863;13395.193;5.8888674;2.8448637
2.8018317;4.50338;5758.701;-5054.9917;703.7095;13317.821;5.9918766;2.8532746
2.8032563;4.4850926;5763.289;-5070.444;692.8452;13207.797;6.1962323;2.9090292
2.803652;4.4651895;5762.984;-5086.2437;676.74023;13098.644;6.4005613;2.963223
2.8027623;4.449345;5758.917;-5098.221;660.6958;13019.401;6.3004937;2.8769379
2.8016605;4.438436;5755.9785;-5106.785;649.19336;12965.115;6.606789;2.976031
2.801453;4.4293723;5755.5195;-5115.8037;639.7158;12916.049;6.7098393;2.9821508
2.8012211;4.424507;5751.749;-5121.707;630.042;12896.762;6.7112465;2.9435291
2.7991855;4.431527;5740.5586;-5116.247;624.3115;12957.855;6.7125883;2.9058824
2.795674;4.456062;5726.0854;-5095.54;630.5454;13122.105;6.917072;2.9560137
2.7925484;4.495323;5715.54;-5064.505;651.03516;13359.713;7.121429;3.0048223
2.7913172;4.5397444;5713.66;-5032.3027;681.3574;13608.448;7.224088;3.0100367
2.7924814;4.5788856;5720.285;-5006.997;713.2881;13811.055;7.428448;3.0569746
2.795011;4.6072383;5729.667;-4991.232;738.43506;13948.649;7.5313525;3.0615253
2.7970307;4.626256;5735.4956;-4982.034;753.4614;14041.869;7.634715;3.0661507
2.7974188;4.642301;5735.193;-4972.2593;762.9336;14130.961;7.8396144;3.110958
2.796549;4.6595707;5732.896;-4959.911;772.98486;14230.794;7.841606;3.0751398
2.7962573;4.675105;5734.385;-4948.853;785.53174;14313.484;8.047101;3.1190314
2.797289;4.6830096;5740.06;-4944.5703;795.48975;14345.727;8.252308;3.1618037
2.7987137;4.683574;5744.3594;-4944.541;799.81836;14340.241;8.457314;3.2035277
2.798998;4.680006;5745.62;-4945.8237;799.7964;14318.043;8.7638235;3.282331
2.7994967;4.6698985;5751.3096;-4952.4814;798.8281;14250.923;8.968433;3.321642
2.802108;4.6446567;5764.3213;-4973.288;791.0332;14085.696;8.969599;3.2855675
2.8056219;4.6028438;5776.775;-5007.4937;769.28125;13830.198;8.970575;3.2502084
2.8074312;4.553129;5780.359;-5044.667;735.6919;13548.864;9.173965;3.2881596
2.806704;4.505847;5776.274;-5077.54;698.7339;13296.283;9.173635;3.2530618
2.8052466;4.464205;5771.439;-5105.782;665.65674;13076.306;9.37664;3.290049
2.8040967;4.4287496;5766.216;-5129.3203;636.8955;12891.222;9.478119;3.2910135
2.8022;4.4033136;5757.326;-5144.2314;613.0947;12768.727;9.579987;3.2920918
2.7993944;4.391857;5745.8496;-5147.716;598.1338;12728.501;9.580439;3.2586524
2.7964888;4.394782;5734.454;-5140.163;594.291;12767.423;9.885647;3.3285005
2.7938209;4.411776;5723.879;-5122.241;601.6377;12882.29;10.08913;3.3630435
2.7915215;4.439659;5716.7124;-5097.1714;619.541;13050.395;10.292625;3.3969061
2.7908385;4.4700766;5717.137;-5072.9805;644.15674;13217.29;10.293134;3.3637693
2.7919538;4.497;5721.7305;-5053.4595;668.271;13356.582;10.1763525;3.293318
2.7927842;4.5201373;5724.3633;-5037.1133;687.25;13478.913;10.277674;3.2941263
2.7930605;4.5410314;5726.438;-5022.4487;703.98926;13589.989;10.277439;3.262679
2.7938461;4.5568733;5731.255;-5012.6895;718.5654;13667.721;10.464688;3.2907827
2.7954855;4.5637197;5739.1284;-5011.162;727.9663;13689.7295;10.464508;3.2599714
2.7976248;4.5604362;5747.313;-5018.459;728.854;13655.253;10.4645815;3.229809
2.7991219;4.550965;5750.161;-5029.5713;720.58984;13597.324;10.667837;3.2623355
2.7985702;4.544632;5745.3486;-5035.8857;709.4629;13572.024;10.566343;3.2019224
2.796884;4.545038;5740.0293;-5036.149;703.8804;13584.903;10.464924;3.1426196
2.796309;4.5480227;5738.546;-5035.5415;703.0044;13604.33;10.566343;3.144745
2.7959838;4.5533247;5736.8813;-5033.137;703.74414;13636.898;10.769213;3.1767588
2.795278;4.560933;5734.4746;-5028.445;706.0298;13683.671;10.971795;3.2081273
2.7947958;4.569811;5734.0767;-5023.3;710.77686;13733.426;11.072834;3.209517
2.7952926;4.5748634;5738.398;-5022.925;715.47314;13752.6455;11.072589;3.1817784
2.797005;4.5713735;5746.074;-5031.163;714.91113;13718.048;11.072579;3.154581
2.7985709;4.5618634;5749.8916;-5043.1157;706.7759;13657.967;11.275529;3.1851776
2.7978911;4.5561132;5743.3945;-5049.419;693.9756;13639.251;11.665574;3.2676678
2.7945728;4.565974;5729.0586;-5040.019;689.03955;13722.304;11.664679;3.2401886
2.7907786;4.5911317;5717.0684;-5019.1543;697.91406;13885.021;11.765545;3.241197
2.7891576;4.6222615;5714.685;-4996.541;718.14404;14061.464;11.764759;3.214415
2.7899003;4.6504173;5718.8877;-4978.3525;740.53516;14208.333;11.966724;3.2430148
2.7911437;4.6722536;5723.663;-4965.4556;758.2075;14319.204;11.965661;3.2165756
2.7921493;4.688651;5727.986;-4956.4854;771.5005;14400.987;12.221965;3.2591906
2.7932787;4.697535;5733.551;-4953.499;780.05176;14438.852;12.219877;3.2327719
