temperature;pressure;kinetic_energy;potential_energy;total_energy
0.00011;-5.878494877928372;0.0;-7985.8409231291225;-7985.8409231291225
2.4372880912072456e-36;-5.878576977053736;5.015938891704512e-33;-7985.8409231291225;-7985.8409231291225
0.00021000000000000025;-5.878616056060486;0.4321800000000005;-7986.16842015735;-7985.73624015735
0.00030990193789772846;-5.8785774254582694;0.6377781881935252;-7986.32036861907;-7985.682590430876
0.0004096337733660927;-5.878496461383244;0.8430263055874188;-7986.284214833123;-7985.441188527536
0.0005092574604683741;-5.878404053667661;1.0480518536439138;-7986.336710318814;-7985.288658465171
0.0006087769085570662;-5.878284240384427;1.2528628778104425;-7986.2311542238685;-7984.9782913460585
0.0007081904544086448;-5.87816178442255;1.4574559551729909;-7986.272901636599;-7984.815445681425
0.0008075006455895307;-5.878028288827858;1.6618363286232538;-7986.277910790277;-7984.616074461654
0.0009067083512263053;-5.877874866198479;1.866005786823736;-7986.2063064636295;-7984.340300676806
0.0010058147390790183;-5.877702554158686;2.06996673302462;-7986.201431069482;-7984.131464336458
0.0011048201691609746;-5.8775135189613925;2.2737199081332857;-7986.220040458533;-7983.946320550401
0.0012037203446205505;-5.877283081228005;2.477256469229093;-7986.151767979782;-7983.674511510551
0.00130251663303431;-5.877041932771883;2.68057923078461;-7986.193718605921;-7983.513139375137
0.0014012165870543882;-5.87677145742966;2.8837037361579307;-7986.174316217826;-7983.290612481667
0.0014998209004620825;-5.876465807432588;3.0866314131509656;-7986.140418920888;-7983.053787507737
0.0015983246797042;-5.876138454760537;3.2893521908312437;-7986.209951052736;-7982.920598861904
0.00169672458419489;-5.875780731397703;3.491859194273084;-7986.1664354129225;-7982.674576218648
0.0017950282708464086;-5.875368067717018;3.6941681814019085;-7986.0681936229175;-7982.374025441515
0.0018932403702708964;-5.87492048051898;3.8962886820175053;-7985.979537240703;-7982.083248558686
0.0019913558547066217;-5.874433276852407;4.0982103489862265;-7985.960047315033;-7981.861836966047
0.002089374712872764;-5.873915082971912;4.299933159092148;-7985.90091521477;-7981.600982055677
0.002187297736510816;-5.8733599067040325;4.501458741739258;-7985.8784371577085;-7981.37697841597
0.002285127905965197;-5.872749309504804;4.702793230476376;-7985.825200425439;-7981.122407194964
0.002382865347593164;-5.8720839765022985;4.903936885346732;-7985.747641040131;-7980.843704154787
0.0024805115870380587;-5.871386240525613;5.104892846124324;-7985.719399043289;-7980.614506197165
0.002578064134114901;-5.870629722694157;5.305655988008466;-7985.6198408267;-7980.314184838691
0.002675525238903573;-5.8698018577252284;5.506230941663554;-7985.521524367848;-7980.015293426184
0.002772914567314537;-5.868936562292705;5.706658179533317;-7985.415340743698;-7979.708682564164
0.0028702180895705553;-5.867886477704549;5.906908828336202;-7985.24060068588;-7979.333691857544
0.0029675221532698827;-5.866907330990076;6.10716059142942;-7985.125888530497;-7979.0187279390675
0.003064742478761106;-5.865843216590305;6.307240021290356;-7985.02939225328;-7978.722152231991
0.0031618044435684995;-5.8644501550084565;6.506993544863973;-7984.652821917403;-7978.145828372541
0.0032589745854762985;-5.8631356074068455;6.706969696910223;-7984.401209292948;-7977.694239596038
0.003356146741131019;-5.8617279448764785;6.906949993247638;-7984.077932425134;-7977.170982431887
0.0034531756207616887;-5.8601271554627585;7.106635427527555;-7983.673299161064;-7976.566663733538
0.0035502196665688204;-5.858666364011468;7.3063520737986325;-7983.45971182082;-7976.153359747022
0.0036471451883635033;-5.857019033219731;7.505824797652088;-7983.100778653855;-7975.594953856203
0.0037439427698479303;-5.855289145777353;7.7050342203470406;-7982.720690915782;-7975.015656695436
0.0038407455979808758;-5.853332541985321;7.904254440644642;-7982.190249048678;-7974.285994608033
0.003937578665185481;-5.851284754768156;8.10353689295172;-7981.672689171248;-7973.569152278296
0.004034446784556516;-5.848287212786973;8.302891482617309;-7980.303273163481;-7972.000381680864
0.004131713242151068;-5.845640342978269;8.503065852346896;-7979.32029418145;-7970.817228329102
0.0042291659395536215;-5.842993360055106;8.703623503601355;-7978.41161121432;-7969.707987710719
0.004326322399204526;-5.840515812856856;8.903571497562915;-7977.704399100734;-7968.8008276031715
0.004423254658774713;-5.838079954048555;9.10305808775836;-7977.086641760584;-7967.983583672823
0.004519979548513244;-5.835582119483178;9.302117910840256;-7976.4961837879455;-7967.1940658771055
0.004616641638748349;-5.833217527763632;9.501048492544099;-7976.106509046507;-7966.605460553962
0.004713166392600878;-5.830697758061053;9.699696435972607;-7975.608435712083;-7965.9087392761085
0.0048096264967403156;-5.82721058375049;9.89821133029157;-7974.272020750445;-7964.3738094201535
0.004906485643269365;-5.823912259219403;10.097547453848351;-7973.196664202936;-7963.099116749088
0.005003624957386773;-5.821232267680684;10.29746016230198;-7972.743837495806;-7962.446377333505
0.005100406838212819;-5.818177066372032;10.49663727304198;-7971.9987481734925;-7961.50211090045
0.0051970489784532205;-5.815207315866168;10.695526797656727;-7971.439286609709;-7960.7437598120505
0.005293805458760003;-5.812235022843505;10.894651634128085;-7970.919744917671;-7960.0250932835415
0.005390523774912559;-5.8093216147811795;11.093697928770046;-7970.490607396129;-7959.396909467359
0.005487242801084964;-5.8063899802977454;11.292745684632855;-7970.115048093608;-7958.822302408975
0.005583989585660434;-5.803068733649807;11.491850567289172;-7969.456665850116;-7957.964815282827
0.005680921212018271;-5.799902464410787;11.691335854333602;-7968.999821842952;-7957.3084859886185
0.005778019327324988;-5.796639370069096;11.891163775634825;-7968.495928973061;-7956.604765197427
0.0058752375043113255;-5.7933231037989055;12.091238783872706;-7968.012753549624;-7955.9215147657505
