temperature;pressure;kinetic_energy;potential_energy;total_energy;virial;msd;diffusion
1.0007488;0.86255527;2055.3796;-6049.3457;-3993.966;646.05786;0.0;0.0
1.0010296;0.8651136;2056.484;-6047.836;-3991.352;657.95795;0.0;0.0
1.0012692;0.86627924;2057.3728;-6047.2114;-3989.8386;662.6084;0.0;0.0
1.0014431;0.8664798;2057.9675;-6047.2314;-3989.264;662.52527;0.0;0.0
1.0015401;0.86601776;2058.23;-6047.457;-3989.227;659.452;0.0;0.0
1.0015585;0.86497843;2058.19;-6047.6543;-3989.4644;653.80035;0.0;0.0
1.001519;0.8644643;2057.9766;-6047.6216;-3989.645;651.39197;0.0;0.0
1.0014656;0.86368036;2057.77;-6047.414;-3989.644;647.4818;0.0;0.0
1.0014352;0.862877;2057.7139;-6047.106;-3989.392;643.1636;0.0;0.0
1.0014502;0.8621236;2057.7957;-6046.869;-3989.0735;638.8452;0.0;0.0
1.001471;0.8613544;2057.843;-6046.754;-3988.911;634.5086;0.0;0.0
1.0014493;0.8603409;2057.6428;-6046.41;-3988.7673;629.3197;0.0;0.0
1.0013384;0.8602137;2057.064;-6045.5225;-3988.4585;629.77594;0.0;0.0
1.0011342;0.86123925;2056.1978;-6043.688;-3987.4902;637.16394;0.0;0.0
1.000901;0.8631169;2055.3433;-6041.0156;-3985.6724;649.22797;0.0;0.0
1.0007262;0.865931;2054.8726;-6037.8086;-3982.936;665.6882;0.0;0.0
1.0006995;0.8683496;2055.0747;-6034.879;-3979.8042;678.62244;0.0;0.0
1.0008552;0.8701636;2055.958;-6032.7876;-3976.8296;686.8596;0.0;0.0
1.0011423;0.87039137;2057.1987;-6032.033;-3974.8345;685.63416;0.0;0.0
1.0014435;0.8694338;2058.3242;-6032.365;-3974.041;678.10266;0.0;0.0
1.0016551;0.86754566;2059.0076;-6033.41;-3974.4026;666.3231;0.0;0.0
1.0017372;0.86532146;2059.191;-6034.585;-3975.394;653.69025;0.0;0.0
1.001718;0.86322254;2059.0884;-6035.683;-3976.5947;642.3201;0.0;0.0
1.0016817;0.8608585;2059.0586;-6036.759;-3977.7002;629.3427;0.0;0.0
1.0017176;0.8585454;2059.4106;-6038.0703;-3978.6597;615.88226;0.0;0.0
1.0018711;0.8554083;2060.1743;-6040.255;-3980.0806;597.0543;0.0;0.0
1.0020926;0.8513853;2061.0437;-6043.276;-3982.2322;573.12964;0.0;0.0
1.0022798;0.84621435;2061.6377;-6046.9717;-3985.334;543.42505;0.0;0.0
1.0023574;0.84094626;2061.7505;-6050.7637;-3989.0132;514.14685;0.0;0.0
1.0023144;0.8359;2061.411;-6054.2153;-3992.8044;486.99713;0.0;0.0
1.0021826;0.8317451;2060.7954;-6056.9863;-3996.191;465.31445;0.0;0.0
1.0020183;0.8283122;2060.1292;-6059.084;-3998.9548;447.71536;0.0;0.0
1.0018754;0.82541233;2059.6375;-6060.725;-4001.0876;432.70657;0.0;0.0
1.0018066;0.8232214;2059.5168;-6062.2075;-4002.6907;420.86517;0.0;0.0
1.001847;0.82079273;2059.8281;-6064.0176;-4004.1895;406.8491;0.0;0.0
1.0019745;0.81795734;2060.3643;-6066.4004;-4006.0361;390.13995;0.0;0.0
1.0021005;0.81494784;2060.7136;-6069.115;-4008.4016;372.84473;0.0;0.0
1.0021145;0.8117732;2060.504;-6071.7173;-4011.2134;355.7563;0.0;0.0
1.0019631;0.80999255;2059.6294;-6073.373;-4013.7437;347.6857;0.0;0.0
1.001667;0.8097947;2058.2847;-6073.6025;-4015.3179;349.28406;0.0;0.0
1.0013106;0.81156415;2056.8228;-6072.4756;-4015.6528;361.9659;0.0;0.0
1.000981;0.81513345;2055.5798;-6070.05;-4014.47;384.13574;0.0;0.0
1.0007492;0.82008064;2054.7317;-6066.744;-4012.0125;413.1148;0.0;0.0
1.0006181;0.82605207;2054.236;-6062.955;-4008.719;447.0371;0.0;0.0
1.0005517;0.83255;2053.8367;-6058.878;-4005.0413;483.67072;0.0;0.0
1.0004591;0.8398321;2053.2375;-6054.1514;-4000.9138;525.0283;0.0;0.0
1.000303;0.84831196;2052.4438;-6048.585;-3996.141;573.38055;0.0;0.0
1.0001419;0.85740465;2051.849;-6042.4585;-3990.6094;624.71436;0.0;0.0
1.0001147;0.86670274;2052.0342;-6036.451;-3984.417;675.62134;0.0;0.0
1.000335;0.87529314;2053.1643;-6031.6045;-3978.4402;720.73535;0.0;0.0
1.0007108;0.88206625;2054.5344;-6028.2524;-3973.718;755.3474;0.0;0.0
1.0009763;0.88795805;2055.2124;-6025.504;-3970.2915;786.4836;0.0;0.0
1.0009936;0.89364797;2055.0552;-6022.6104;-3967.5552;818.17676;0.0;0.0
1.0008764;0.89991325;2054.6868;-6019.213;-3964.5261;853.4652;0.0;0.0
1.000827;0.90604854;2054.838;-6016.02;-3961.1821;886.998;0.0;0.0
1.000973;0.9111433;2055.7666;-6013.7407;-3957.974;913.23706;0.0;0.0
1.0012795;0.9143421;2057.1348;-6012.917;-3955.7822;928.14136;0.0;0.0
1.0016078;0.9160159;2058.4133;-6013.3613;-3954.948;934.8151;0.0;0.0
1.0018559;0.91619825;2059.3691;-6014.703;-3955.334;933.90906;0.0;0.0
1.0020329;0.91492856;2060.1252;-6016.836;-3956.7107;925.39465;0.0;0.0
1.0021894;0.9126176;2060.8052;-6019.6665;-3958.8613;911.2905;0.0;0.0
1.0023208;0.9094814;2061.2607;-6022.911;-3961.6504;893.08374;0.0;0.0
1.0023531;0.9062548;2061.2112;-6026.1123;-3964.9011;875.3891;0.0;0.0
1.0022339;0.9031998;2060.5234;-6028.7363;-3968.213;859.91644;0.0;0.0
1.0019698;0.9015277;2059.3757;-6030.065;-3970.6892;852.99066;0.0;0.0
1.0016537;0.90129083;2058.1318;-6030.201;-3972.0693;854.17206;0.0;0.0
1.0013671;0.9019766;2057.0886;-6029.2295;-3972.1409;860.04034;0.0;0.0
1.0011672;0.9033948;2056.452;-6027.644;-3971.1921;869.13513;0.0;0.0
1.0010909;0.9049274;2056.38;-6025.991;-3969.6113;877.7309;0.0;0.0
1.0011731;0.90555304;2056.983;-6024.8906;-3967.9077;879.9751;0.0;0.0
1.0014255;0.9041507;2058.2983;-6025.2095;-3966.9111;869.61084;0.0;0.0
1.0018455;0.90029633;2060.2822;-6027.454;-3967.1719;844.3869;0.0;0.0
1.002408;0.8931654;2062.8025;-6032.203;-3969.4006;800.021;0.0;0.0
1.0030645;0.88222927;2065.555;-6039.823;-3974.2683;734.20544;0.0;0.0
1.0037;0.8681574;2067.9893;-6049.836;-3981.8467;651.73303;0.0;0.0
1.0041604;0.85174054;2069.4844;-6061.3564;-3991.872;558.2072;0.0;0.0
1.004315;0.8342296;2069.6587;-6073.131;-4003.4722;461.2893;0.0;0.0
1.0041345;0.8179451;2068.54;-6083.666;-4015.126;373.7211;0.0;0.0
1.0036842;0.8038836;2066.4668;-6092.158;-4025.6914;300.3212;0.0;0.0
