temperature;pressure;kinetic_energy;potential_energy;total_energy;virial;msd;diffusion
0.00062853703;-0.46956635;1.351636;-9017.693;-9016.342;-2592.266;0.0;0.0
0.0005266711;-0.46970686;1.1385751;-9017.826;-9016.6875;-2592.615;0.0;0.0
0.00042449345;-0.469827;0.92435575;-9017.943;-9017.019;-2592.849;0.0;0.0
0.00032191348;-0.4699358;0.70845205;-9018.056;-9017.348;-2593.0173;0.0;0.0
0.00021862789;-0.47001824;0.48967132;-9018.149;-9017.66;-2593.0344;0.0;0.0
0.000113931754;-0.47017813;0.26518238;-9018.243;-9017.978;-2593.4673;0.0;0.0
1.5192483e-05;-0.4703009;0.044787616;-9018.308;-9018.263;-2593.7036;0.0;0.0
1.5741452e-05;-0.47034147;0.047089297;-9018.352;-9018.305;-2593.932;0.0;0.0
1.5952604e-05;-0.47035939;0.047823314;-9018.387;-9018.339;-2594.0322;0.0;0.0
1.5962309e-05;-0.47040692;0.047722057;-9018.432;-9018.384;-2594.2942;0.0;0.0
1.5881187e-05;-0.4704334;0.047280155;-9018.463;-9018.416;-2594.4392;0.0;0.0
1.5771813e-05;-0.47046766;0.046710372;-9018.498;-9018.451;-2594.627;0.0;0.0
1.564652e-05;-0.47050261;0.046096846;-9018.531;-9018.485;-2594.8186;0.0;0.0
1.5521973e-05;-0.4705105;0.045484792;-9018.576;-9018.53;-2594.8608;0.0;0.0
1.5397722e-05;-0.47054362;0.044886418;-9018.614;-9018.569;-2595.0422;0.0;0.0
1.5278429e-05;-0.4705739;0.04431129;-9018.645;-9018.601;-2595.208;0.0;0.0
1.5163226e-05;-0.47060722;0.043766636;-9018.67;-9018.626;-2595.3909;0.0;0.0
1.5055748e-05;-0.47057366;0.04325584;-9018.692;-9018.649;-2595.2046;0.0;0.0
1.4953826e-05;-0.47058132;0.04276406;-9018.723;-9018.68;-2595.246;0.0;0.0
1.4853746e-05;-0.47064164;0.04229369;-9018.767;-9018.725;-2595.5776;0.0;0.0
1.4760046e-05;-0.47064412;0.041847095;-9018.79;-9018.748;-2595.5903;0.0;0.0
1.4669332e-05;-0.47064358;0.041421425;-9018.8125;-9018.771;-2595.5867;0.0;0.0
1.4583896e-05;-0.4706529;0.041016065;-9018.842;-9018.801;-2595.6372;0.0;0.0
1.45012655e-05;-0.47066152;0.04062605;-9018.869;-9018.828;-2595.6838;0.0;0.0
1.44218275e-05;-0.47066277;0.040258914;-9018.893;-9018.853;-2595.6902;0.0;0.0
1.4348385e-05;-0.4706727;0.03991792;-9018.923;-9018.883;-2595.7441;0.0;0.0
1.4279507e-05;-0.47070864;0.039583735;-9018.949;-9018.909;-2595.9417;0.0;0.0
1.4208752e-05;-0.47073632;0.03927002;-9018.973;-9018.934;-2596.0938;0.0;0.0
1.4148148e-05;-0.470688;0.038981102;-9018.99;-9018.951;-2595.8267;0.0;0.0
1.4087614e-05;-0.47076195;0.03869701;-9019.039;-9019.0;-2596.234;0.0;0.0
1.40288e-05;-0.47070602;0.03842368;-9019.04;-9019.002;-2595.9248;0.0;0.0
