radius;rdf
0.01;0.0
0.02;0.0
0.03;0.0
0.04;0.0
0.05;0.0
0.06;0.0
0.07;0.0
0.08;0.0
0.09;0.0
0.1;0.0
0.11;0.0
0.12;0.0
0.13;0.0
0.14;0.0
0.15;0.0
0.16;0.0
0.17;0.0
0.18;0.0
0.19;0.0
0.2;0.0
0.21;0.0
0.22;0.0
0.23;0.0
0.24;0.0
0.25;0.0
0.26;0.0
0.27;0.0
0.28;0.0
0.29;0.0
0.3;0.0
0.31;0.0
0.32;0.0
0.33;0.0
0.34;0.0
0.35000000000000003;0.0
0.36;0.0
0.37;0.0
0.38;0.0
0.39;0.0
0.4;0.0
0.41000000000000003;0.0
0.42;0.0
0.43;0.0
0.44;0.0
0.45;0.0
0.46;0.0
0.47000000000000003;0.0
0.48;0.0
0.49;0.0
0.5;0.0
0.51;0.0
0.52;0.0
0.53;0.0
0.54;0.0
0.55;0.0
0.56;0.0
0.5700000000000001;0.0
0.58;0.0
0.59;0.0
0.6;0.0
0.61;0.0
0.62;0.0
0.63;0.0
0.64;0.0
0.65;0.0
0.66;0.0
0.67;0.0
0.68;0.0
0.6900000000000001;0.0
0.7000000000000001;0.0
0.71;0.0
0.72;0.0
0.73;0.0
0.74;0.0
0.75;0.0
0.76;0.0
0.77;0.0
0.78;0.0
0.79;0.0
0.8;0.0
0.81;0.0
0.8200000000000001;0.0
0.8300000000000001;0.0
0.84;0.0
0.85;0.0
0.86;0.0
0.87;0.0
0.88;0.0
0.89;0.0
0.9;0.0
0.91;0.07507535278984616
0.92;0.05508911239833849
0.93;0.2156430788944558
0.9400000000000001;0.3166190000042125
0.9500000000000001;0.5166473654731712
0.96;0.7251805785445635
0.97;1.1232737740138352
0.98;1.1652001182995515
0.99;1.1734957080272677
1.0;1.2900254176393862
1.01;2.1940166525142417
1.02;2.166146541850342
1.03;2.06568853096034
1.04;2.342292354423833
1.05;2.509351958471281
1.06;2.3653997951542913
1.07;2.687929105110442
1.08;2.438505580222202
1.09;2.2631497009157453
1.1;2.1322734175857616
1.11;2.5103096399255436
1.12;2.193094753908856
1.1300000000000001;2.0692464052972372
1.1400000000000001;2.2005350751635073
1.1500000000000001;1.5983187810504607
1.16;1.9520498365136185
1.17;2.2480897307626164
1.18;1.5738932508588228
1.19;1.7451122879030765
1.2;1.6621813446826088
1.21;1.5923579241156245
1.22;1.37839739874628
1.23;1.3560755425302158
1.24;1.5364569371229972
1.25;1.3329226483946235
1.26;1.4293281286548334
1.27;1.1274533849737707
1.28;1.0150420016546728
1.29;1.204843016381233
1.3;0.9748534559761525
1.31;1.2589033346968057
1.32;0.9812168504619887
1.33;1.247685814578067
1.34;0.9088660423749051
1.35;0.8869231225114195
1.36;0.8067028500684029
1.37;0.9523067903466135
1.3800000000000001;0.8161349984939037
1.3900000000000001;0.7400795465251525
1.4000000000000001;0.7612640772890401
1.41;0.8677705926041384
1.42;0.8016352860429787
1.43;0.8892706560830336
1.44;0.7720268691482178
1.45;0.8279463448597408
1.46;0.7947690773755169
1.47;0.8631111987404084
1.48;0.7450510708949871
1.49;0.7420847442005756
1.5;0.7805776288795214
1.51;0.7361902067551132
1.52;0.7870799708380344
1.53;0.7104296704306102
1.54;0.727447594516903
1.55;0.7439686221858726
1.56;0.6578217109901972
1.57;0.7818844127564689
1.58;0.7969222835477855
1.59;0.7500423002178649
1.6;0.7892663040903621
1.61;0.779492202643157
1.62;0.6929086894620463
1.6300000000000001;0.7955800323456791
1.6400000000000001;0.8321372647344503
1.6500000000000001;0.6964855607642916
1.6600000000000001;0.8742501129533585
1.67;0.7746437709036497
1.68;0.7709560967915627
1.69;0.7509756443268343
1.7;0.8766170970743318
1.71;0.7122504832654831
1.72;0.7775440396413771
1.73;0.8205122242601585
1.74;0.847043321564095
1.75;0.8475406727151314
1.76;0.8881127515829251
1.77;0.878105927193102
1.78;0.8977000722040073
1.79;0.9216535792111363
1.8;0.9066443698268777
1.81;0.8776770729201833
1.82;0.9525185385211732
1.83;0.9467780112600712
