x;y;z;v_x;v_y;v_z;a_x;a_y;a_z;L_x;L_y;L_z;particles_number;time
-6.605748346958796;-5.7419437532485285;-3.613625907058023;-1.0367817639788992;0.567450690379096;-1.9611579105445236;13.613545;16.436205;18.6089;12.25;12.25;12.25;1372;200.0049999998906
-0.15879962968905115;-12.350821064931493;-7.181847938471117;0.5615224905381325;-0.2911668340555467;0.7589728674592712;2.8497992;-9.909393;10.801034;12.25;12.25;12.25;1372;200.0049999998906
2.7431714147836876;-10.390905177985843;-12.733459041831614;-1.643362541681332;0.011095041962712517;3.1149944440769985;1.2321914;0.09682318;-6.904122;12.25;12.25;12.25;1372;200.0049999998906
-7.266613769994381;-6.3285847922220615;5.785887083646702;3.0391798206454257;1.2587958044965213;0.06342110827464281;15.382472;-5.91934;16.335922;12.25;12.25;12.25;1372;200.0049999998906
-10.300140934150276;-11.129670956550573;5.333315695192552;-0.8498790407913906;0.19796651898423298;0.3523492441225716;-6.7899;7.2608485;-5.587783;12.25;12.25;12.25;1372;200.0049999998906
-12.46260669969289;-8.361171475269195;-10.187120631119479;0.2386412886830759;0.5341261840619701;0.604485718389253;2.7421198;11.655091;-5.2508936;12.25;12.25;12.25;1372;200.0049999998906
-11.440276434399475;-14.525402828190554;4.078964030102918;1.7760583269217953;0.3119880336366764;0.36269944515092356;3.5084174;-13.719884;-10.581696;12.25;12.25;12.25;1372;200.0049999998906
-6.4344511550237335;0.18464824786569894;-20.36987361975457;-1.2920358871488689;-0.45576225491124384;-0.74003372503171;20.09439;0.67714626;15.6775675;12.25;12.25;12.25;1372;200.0049999998906
7.593492244475055;-4.7377528174443055;-2.860749390066058;-0.8154647612399856;-0.023009489506161232;-1.444356908741873;18.177717;13.041538;-38.01439;12.25;12.25;12.25;1372;200.0049999998906
-20.469846742590402;7.543424605479288;-12.779442235637495;0.11463242698540128;-0.17131790800198066;1.2357379314799692;-1.061544;3.0774906;-1.5518985;12.25;12.25;12.25;1372;200.0049999998906
-9.753257012644715;-6.466981335028013;-5.235342743320019;1.7502626479920738;1.504462949414515;-0.8675568893510962;-10.819993;-3.698365;24.914303;12.25;12.25;12.25;1372;200.0049999998906
2.1808131209312083;-14.542257532102214;6.317066020580699;0.5124188976890898;0.8049145938149612;2.3460205572892203;1.879538;-18.074972;-18.947363;12.25;12.25;12.25;1372;200.0049999998906
-5.888866733491002;-3.283208649999567;3.3739208485234404;-0.36962496827678837;-0.41577540978876715;0.08442576743733236;-24.683775;35.70018;-32.17129;12.25;12.25;12.25;1372;200.0049999998906
7.407544186172772;1.0166924451224657;-0.6136975105016691;2.4706679699134138;-0.12556718267434422;-1.5347440997617983;0.45468855;-0.2708784;-1.0853703;12.25;12.25;12.25;1372;200.0049999998906
-1.5276211097397066;-16.07363524882704;2.9442233039845505;-0.40519993116249675;-0.6623143478509153;1.2284841395526966;21.187883;17.780434;-12.729559;12.25;12.25;12.25;1372;200.0049999998906
-16.675047689251993;-9.78980841940545;1.0133376527747517;1.8322006337102215;1.2956138248884452;0.9422499643779751;26.977894;-10.02481;11.942894;12.25;12.25;12.25;1372;200.0049999998906
-3.5066829559327357;-28.679810762053588;-5.4720712044192155;-0.40676337867484236;-0.3418323090162173;0.5971238489845664;19.556826;6.474385;16.867487;12.25;12.25;12.25;1372;200.0049999998906
-6.2853754850118175;-16.391949530086656;-9.08417642345598;-1.9420256009670704;-0.4744581602408121;-0.34954142110067193;-10.49834;-46.12753;-11.877147;12.25;12.25;12.25;1372;200.0049999998906
-9.511345396744165;-5.032328823323413;-1.888281780251142;-0.3670440054677144;2.719315896964743;1.1097739639194746;-3.300864;-9.624906;-33.97335;12.25;12.25;12.25;1372;200.0049999998906
-5.486070872008315;-8.655506745523283;0.9444259018919385;-0.9828522892301025;-0.08843024009394695;-0.7407389888239883;28.999147;9.006896;-16.124836;12.25;12.25;12.25;1372;200.0049999998906
0.6674486503060869;-19.85941081151937;-4.763788766634067;-1.0150155246241885;-0.8092131558854864;0.29463130156650985;-4.3853164;12.067996;12.7714615;12.25;12.25;12.25;1372;200.0049999998906
8.5570445411151;-4.681514484946943;-8.729891565665238;2.701748930437899;-1.6296296545718332;2.4959354425755143;13.208267;36.85058;-3.711392;12.25;12.25;12.25;1372;200.0049999998906
11.71469750693699;3.6413961500845873;-13.300443068819469;-0.3648672524537886;-0.45940717986139024;1.3146435758341053;-31.291021;41.126404;-5.9563584;12.25;12.25;12.25;1372;200.0049999998906
2.852413607674079;-2.7642469661692717;-8.231553739220498;-2.2929403977493212;-1.3810485718476018;0.32661106917722427;-2.657478;-10.661169;-10.04492;12.25;12.25;12.25;1372;200.0049999998906
-4.686172795676068;-7.848752090725149;-9.192800767204183;0.5194681660697085;-0.9180785589926763;-1.9354960679262512;-3.0816767;0.95999646;15.009932;12.25;12.25;12.25;1372;200.0049999998906
4.062797934279646;-20.38531978298775;0.2597856983302142;-1.3381468759396826;-1.6300277845968698;-1.238742274912312;-12.98357;44.000443;20.761465;12.25;12.25;12.25;1372;200.0049999998906
-12.793640854500929;-5.846046768176296;-14.138140225982617;1.1674292166154607;-1.1595782020488208;0.1636492251812018;-12.113341;3.073793;-13.468388;12.25;12.25;12.25;1372;200.0049999998906
11.132462179909355;-8.584177581425688;-8.884869608890703;-0.5357877578174227;1.0216942265863023;-1.2380429770997556;19.776827;12.779959;12.941567;12.25;12.25;12.25;1372;200.0049999998906
-3.2698530997402915;1.3200931835554024;2.493257223514993;0.5457770528402581;1.5263611175952163;-1.526227652607167;-1.2230397;3.9418266;2.3590474;12.25;12.25;12.25;1372;200.0049999998906
-1.9498671324043753;-0.8370163485200695;-12.69846070033583;0.4849116026480465;-0.21210983485423232;0.671131395947887;6.830488;-3.4293664;-6.1396923;12.25;12.25;12.25;1372;200.0049999998906
4.577059020640764;2.973312610729034;-7.302356758325387;-0.4247258745793288;-0.3876470806087096;-0.7692491988638003;2.8585792;3.850274;5.490666;12.25;12.25;12.25;1372;200.0049999998906
3.7137624344089954;-5.569498855253058;-3.351678055854526;0.6901387724107194;-0.09461054153513125;1.4996494298606644;-13.665793;-2.873611;5.537513;12.25;12.25;12.25;1372;200.0049999998906
-13.44596994972685;3.9403510734887677;-10.088730708609374;2.2023197043348497;-0.41213229696666326;-0.2347320862209038;-27.268595;0.35370213;4.4492717;12.25;12.25;12.25;1372;200.0049999998906
-5.6159174439946495;1.449215096171714;2.8714704068289136;-2.7198194032374046;-0.9933314380633612;0.033174751739096134;-15.847717;7.75523;-2.4072628;12.25;12.25;12.25;1372;200.0049999998906
-8.79917358008434;-1.677809717504566;-10.498784406280997;-1.572338782365704;-1.1057206849894285;-0.4647458842799196;-13.730174;12.67709;0.27837032;12.25;12.25;12.25;1372;200.0049999998906
-4.004884110943078;-5.047028787125714;10.444705259772597;0.051350864169687455;0.6442884082923618;2.076973032115342;-3.0095568;-2.1726077;-18.24744;12.25;12.25;12.25;1372;200.0049999998906
-0.19573474392621656;-13.773287547026118;-0.37512760514137794;-0.6074820758393259;0.7848714008212391;0.942263572364521;3.721893;75.94543;-34.591103;12.25;12.25;12.25;1372;200.0049999998906
