radius;rdf
0.01;0.0
0.02;0.0
0.03;0.0
0.04;0.0
0.05;0.0
0.06;0.0
0.07;0.0
0.08;0.0
0.09;0.0
0.1;0.0
0.11;0.0
0.12;0.0
0.13;0.0
0.14;0.0
0.15;0.0
0.16;0.0
0.17;0.0
0.18;0.0
0.19;0.0
0.2;0.0
0.21;0.0
0.22;0.0
0.23;0.0
0.24;0.0
0.25;0.0
0.26;0.0
0.27;0.0
0.28;0.0
0.29;0.0
0.3;0.0
0.31;0.0
0.32;0.0
0.33;0.0
0.34;0.0
0.35000000000000003;0.0
0.36;0.0
0.37;0.0
0.38;0.0
0.39;0.0
0.4;0.0
0.41000000000000003;0.0
0.42;0.0
0.43;0.0
0.44;0.0
0.45;0.0
0.46;0.0
0.47000000000000003;0.0
0.48;0.0
0.49;0.0
0.5;0.0
0.51;0.0
0.52;0.0
0.53;0.0
0.54;0.0
0.55;0.0
0.56;0.0
0.5700000000000001;0.0
0.58;0.0
0.59;0.0
0.6;0.0
0.61;0.0
0.62;0.0
0.63;0.0
0.64;0.0
0.65;0.0
0.66;0.0
0.67;0.0
0.68;0.0
0.6900000000000001;0.0
0.7000000000000001;0.0
0.71;0.0
0.72;0.0
0.73;0.0
0.74;0.0
0.75;0.0
0.76;0.0
0.77;0.0
0.78;0.0
0.79;0.0
0.8;0.0
0.81;0.0
0.8200000000000001;0.0
0.8300000000000001;0.0
0.84;0.0
0.85;0.0
0.86;0.0
0.87;0.0
0.88;0.0
0.89;0.0
0.9;0.0
0.91;0.0
0.92;0.0
0.93;0.0
0.9400000000000001;0.0
0.9500000000000001;0.0
0.96;0.0
0.97;0.0
0.98;0.0
0.99;0.0
1.0;0.0
1.01;0.0
1.02;0.014939069
1.03;0.108703494
1.04;0.5495182
1.05;1.9530325
1.06;4.1303816
1.07;7.9689703
1.08;12.106837
1.09;12.818386
1.1;11.464007
1.11;8.82833
1.12;6.833437
1.1300000000000001;5.7705555
1.1400000000000001;4.622764
1.1500000000000001;3.1463752
1.16;2.2596204
1.17;2.0365083
1.18;1.3499196
1.19;1.2135116
1.2;0.9006752
1.21;0.7849138
1.22;0.61441046
1.23;0.6328555
1.24;0.5047368
1.25;0.4887662
1.26;0.352426
1.27;0.500924
1.28;0.39190963
1.29;0.3014247
1.3;0.35458845
1.31;0.29103315
1.32;0.2716373
1.33;0.2868024
1.34;0.29421258
1.35;0.33153087
1.36;0.3357812
1.37;0.30803412
1.3800000000000001;0.3523756
1.3900000000000001;0.33575538
1.4000000000000001;0.34302834
1.41;0.33586547
1.42;0.3074423
1.43;0.38452253
1.44;0.44449306
1.45;0.3796724
1.46;0.37808308
1.47;0.43228966
1.48;0.47796008
1.49;0.5797726
1.5;0.55409926
1.51;0.63877606
1.52;0.5731963
1.53;0.5506167
1.54;0.6425803
1.55;0.7870867
1.56;0.8417625
1.57;0.9108717
1.58;0.95007294
1.59;0.93247527
1.6;0.88053757
1.61;0.87732655
1.62;0.81997913
1.6300000000000001;0.7131318
1.6400000000000001;0.6974181
1.6500000000000001;0.69350773
1.6600000000000001;0.67966604
1.67;0.64663166
1.68;0.60863656
1.69;0.6625887
1.7;0.48849756
1.71;0.49814454
1.72;0.5843295
1.73;0.50881016
1.74;0.55683166
1.75;0.5518908
1.76;0.7296674
1.77;0.7991323
1.78;0.8429873
1.79;0.9144723
1.8;1.0880345
1.81;1.2190943
1.82;1.2438235
1.83;1.3873837
1.84;1.5050613
1.85;1.679889
1.86;1.8050088
1.87;2.2273853
1.8800000000000001;2.2993433
1.8900000000000001;2.4644668
1.9000000000000001;2.59505
1.9100000000000001;2.7776892
1.92;3.1329827
1.93;2.6196833
1.94;2.6606674
1.95;2.4363782
1.96;2.095266
1.97;1.9097792
1.98;1.7222793
1.99;1.5265737
2.0;1.4119985
2.0100000000000002;1.1956074
2.02;1.2038448
2.0300000000000002;1.1237448
2.04;1.0138098
2.05;0.95153797
2.06;0.95119363
2.07;1.0468444
2.08;1.1493084
2.09;1.2293342
2.1;1.2294074
